delivery_person_id,name,phone,city,active_status
1,Pamela Flores,+1-513-782-0188x08292,Düsseldorf,True
2,Kimberly Garcia,493.992.9744x4994,Berlin,True
3,Paul Hunt,+1-599-491-2506x388,Düsseldorf,True
4,Christopher Williams,(709)882-5336,Hamburg,True
5,Melissa Pineda,4792523313,Stuttgart,True
6,Jason Mann,+1-556-942-1474,Munich,True
7,Scott Davis,001-589-375-6654,Munich,True
8,Amanda Spence,(534)330-7939,Hamburg,True
9,Melinda Glass,001-872-739-4368x3224,Berlin,True
10,Laura Ramos,(418)742-2028,Hamburg,True
11,Judy Jimenez,(531)973-4405,Frankfurt,True
12,Cassidy Beltran,(898)873-8873x57770,Munich,True
13,Melvin Anderson,932.889.6604,Berlin,True
14,Lawrence Salazar,837-502-1582x517,Hamburg,True
15,Charles Russell,+1-726-517-8695,Stuttgart,True
16,Joseph Young,(919)277-0946x247,Hamburg,True
17,Ashley Kelly,001-443-724-6280,Cologne,True
18,Barry Tyler,+1-322-986-8649x6571,Hamburg,True
19,Leslie Farley,(361)487-6612,Düsseldorf,True
20,Jacqueline Gibson,(925)582-2080x94833,Hamburg,True
21,Heather Martin,(378)548-9125x1131,Berlin,True
22,Kenneth Lowe,(413)310-5939x690,Cologne,True
23,Elizabeth Perry,001-252-823-8648,Munich,True
24,Joshua Mueller,764-587-2912x103,Frankfurt,True
25,Lance Carrillo,354.257.7603,Hamburg,True
26,Eric Lin,+1-549-820-5201x81373,Hamburg,True
27,Joseph Norman,001-667-702-2451,Hamburg,True
28,Megan Gallagher,2718502915,Hamburg,True
29,Amber Lewis,+1-312-816-8700x7310,Frankfurt,True
30,Justin Duarte,001-207-417-9252,Düsseldorf,True
31,Kelsey Thomas,001-552-933-7363x527,Hamburg,True
32,Amanda Robertson,726.802.7359x99621,Düsseldorf,True
33,Eric Gibson,(340)836-1540,Munich,True
34,Amanda Le,(243)347-9597x679,Düsseldorf,True
35,Heidi Mcintyre,+1-617-847-9882,Stuttgart,True
36,Yvonne Clark,8184484096,Düsseldorf,True
37,Kimberly Wright,908.453.4990x921,Munich,True
38,Tammy Bailey,001-884-721-3436x8972,Düsseldorf,True
39,Phillip Blackburn,6613431020,Frankfurt,True
40,Amanda Mitchell,+1-881-866-1326x2024,Berlin,True
41,Samuel Barnett,001-758-872-1132x99540,Munich,True
42,Brooke Thornton,(710)548-2888x389,Frankfurt,True
43,Roger Berry,001-512-243-0856x7576,Hamburg,True
44,Paul Martin,800-383-2173,Hamburg,True
45,Katelyn Bryant,409-376-5873x595,Berlin,True
46,Brandi Lawson,001-699-823-1867,Munich,True
47,James Sanchez,788.806.2700x8276,Cologne,True
48,Robert Kramer,(345)411-4089x052,Frankfurt,True
49,Antonio Williamson MD,649-220-6726,Düsseldorf,True
50,Christine Thompson,001-388-767-4447x42854,Munich,True
51,Kaitlin Jordan,(861)515-9991x5961,Berlin,True
52,Miss Kim Miller,721-707-7588,Hamburg,True
53,Rebekah Moore,(469)287-3531x0047,Düsseldorf,True
54,Heidi Roberts,(590)546-4494x39366,Berlin,True
55,Antonio Watkins,+1-485-851-9578x7607,Stuttgart,True
56,Allison Ramirez,945.704.5746x124,Frankfurt,True
57,Lisa Brown,5843770282,Berlin,True
58,Anthony Hoover,+1-913-702-2922x399,Hamburg,True
59,Jack Hayden,918.258.0108,Frankfurt,True
60,Eric Peterson,9825584439,Stuttgart,False
61,Steven Mays,4469189212,Munich,True
62,Yolanda Whitehead,001-899-667-9134x1351,Stuttgart,True
63,Michael Tate,(983)744-7318,Cologne,True
64,Bill Cohen,(647)316-9028x161,Hamburg,True
65,Jean Lara,276-877-6935,Berlin,True
66,James Lee,+1-778-898-1020x825,Berlin,True
67,Ashley Walker,(643)890-3107x89310,Hamburg,True
68,Mike Torres,504.753.8110x527,Munich,True
69,Joe Mendez,(676)267-0974x7017,Hamburg,False
70,Tina Goodwin,(823)283-0725,Düsseldorf,True
71,Michael Gonzales,369-538-4961,Berlin,True
72,Julie Hensley,+1-599-889-5668x82616,Cologne,False
73,Jimmy Perkins,(875)599-6840x262,Cologne,True
74,David Contreras,446-922-0861x2265,Munich,True
75,Roberta Reynolds,001-671-985-2881,Hamburg,True
76,Linda Coleman,001-452-298-8431x91457,Hamburg,True
77,Lisa Price MD,8682139598,Hamburg,True
78,Amanda Bolton,(273)438-0056x6911,Stuttgart,True
79,Shannon Williamson,001-254-234-4772x9291,Frankfurt,True
80,Eric Duncan,299-742-4684,Cologne,True
81,Matthew Perez,4608138836,Munich,True
82,Kathleen Murphy,304.920.2974,Düsseldorf,True
83,Janice Davis,001-666-236-1926,Düsseldorf,True
